"Town","FIPS","Year","Gender","Measure Type","Variable","Value"
"Ashford","0901501430","2012-2016","Male","Percent","Margins of Error",69.82
"Ashford","0901501430","2013-2017","Total","Number","Employed or Enrolled Youth",163
"Ashford","0901501430","2013-2017","Total","Number","Margins of Error",76
"Ashford","0901501430","2013-2017","Total","Percent","Employed or Enrolled Youth",84.46
"Ashford","0901501430","2013-2017","Total","Percent","Margins of Error",57.84
"Ashford","0901501430","2013-2017","Female","Number","Employed or Enrolled Youth",75
"Ashford","0901501430","2013-2017","Female","Number","Margins of Error",60
"Ashford","0901501430","2013-2017","Female","Percent","Employed or Enrolled Youth",100
"Ashford","0901501430","2013-2017","Female","Percent","Margins of Error",109.58
"Ashford","0901501430","2013-2017","Male","Number","Employed or Enrolled Youth",88
"Ashford","0901501430","2013-2017","Male","Number","Margins of Error",46
"Ashford","0901501430","2013-2017","Male","Percent","Employed or Enrolled Youth",74.58
"Ashford","0901501430","2013-2017","Male","Percent","Margins of Error",52.35
"Ashford","0901501430","2014-2018","Total","Number","Employed or Enrolled Youth",138
"Ashford","0901501430","2014-2018","Total","Number","Margins of Error",67
"Ashford","0901501430","2014-2018","Total","Percent","Employed or Enrolled Youth",86.25
"Ashford","0901501430","2014-2018","Total","Percent","Margins of Error",62.09
"Ashford","0901501430","2014-2018","Female","Number","Employed or Enrolled Youth",95
"Ashford","0901501430","2014-2018","Female","Number","Margins of Error",58
"Ashford","0901501430","2014-2018","Female","Percent","Employed or Enrolled Youth",100
"Ashford","0901501430","2014-2018","Female","Percent","Margins of Error",84.87
"Ashford","0901501430","2014-2018","Male","Number","Employed or Enrolled Youth",43
"Ashford","0901501430","2014-2018","Male","Number","Margins of Error",34
"Ashford","0901501430","2014-2018","Male","Percent","Employed or Enrolled Youth",66.15
"Ashford","0901501430","2014-2018","Male","Percent","Margins of Error",68.39
"Avon","0900302060","2006-2010","Total","Number","Employed or Enrolled Youth",842
"Avon","0900302060","2006-2010","Total","Number","Margins of Error",264
"Avon","0900302060","2006-2010","Total","Percent","Employed or Enrolled Youth",100
"Avon","0900302060","2006-2010","Total","Percent","Margins of Error",35.73
"Avon","0900302060","2006-2010","Female","Number","Employed or Enrolled Youth",286
"Avon","0900302060","2006-2010","Female","Number","Margins of Error",192
"Avon","0900302060","2006-2010","Female","Percent","Employed or Enrolled Youth",100
"Avon","0900302060","2006-2010","Female","Percent","Margins of Error",73.1
"Avon","0900302060","2006-2010","Male","Number","Employed or Enrolled Youth",556
"Avon","0900302060","2006-2010","Male","Number","Margins of Error",180
"Avon","0900302060","2006-2010","Male","Percent","Employed or Enrolled Youth",100
"Avon","0900302060","2006-2010","Male","Percent","Margins of Error",39.56
"Avon","0900302060","2007-2011","Total","Number","Employed or Enrolled Youth",762
"Avon","0900302060","2007-2011","Total","Number","Margins of Error",217
"Avon","0900302060","2007-2011","Total","Percent","Employed or Enrolled Youth",100
"Avon","0900302060","2007-2011","Total","Percent","Margins of Error",35.5
"Avon","0900302060","2007-2011","Female","Number","Employed or Enrolled Youth",264
"Avon","0900302060","2007-2011","Female","Number","Margins of Error",152
"Avon","0900302060","2007-2011","Female","Percent","Employed or Enrolled Youth",100
"Avon","0900302060","2007-2011","Female","Percent","Margins of Error",64.96
"Avon","0900302060","2007-2011","Male","Number","Employed or Enrolled Youth",498
"Avon","0900302060","2007-2011","Male","Number","Margins of Error",154
"Avon","0900302060","2007-2011","Male","Percent","Employed or Enrolled Youth",100
"Avon","0900302060","2007-2011","Male","Percent","Margins of Error",39.47
"Avon","0900302060","2008-2012","Total","Number","Employed or Enrolled Youth",987
"Avon","0900302060","2008-2012","Total","Number","Margins of Error",180
"Avon","0900302060","2008-2012","Total","Percent","Employed or Enrolled Youth",100
"Avon","0900302060","2008-2012","Total","Percent","Margins of Error",26.43
"Avon","0900302060","2008-2012","Female","Number","Employed or Enrolled Youth",409
